customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00001,Male,0,No,No,26,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,No,One year,Yes,Credit card (automatic),66.09,1722.26,No
CUST00002,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,101.92,2000.23,Yes
CUST00003,Female,0,No,No,24,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,88.15,2132.25,No
CUST00004,Female,0,No,No,23,Yes,No,DSL,No,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,85.4,2047.13,Yes
CUST00005,Male,0,Yes,No,36,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),99.38,3647.72,No
CUST00006,Male,0,No,No,19,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),28.4,557.89,No
CUST00007,Male,1,No,No,19,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No,Yes,One year,Yes,Bank transfer (automatic),53.91,981.6,No
CUST00008,Female,0,Yes,No,22,Yes,No,DSL,No,No internet service,No,No,No internet service,No,One year,No,Credit card (automatic),142.04,3213.24,No
CUST00009,Female,0,No,No,23,Yes,No,DSL,No,No internet service,No,Yes,No,No,Month-to-month,No,Electronic check,18.0,466.96,No
CUST00010,Female,0,Yes,No,28,Yes,No,No,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),61.07,1635.92,No
CUST00011,Male,0,No,No,23,No,No,DSL,No,No,No,Yes,No,No internet service,One year,Yes,Mailed check,84.28,1850.6,No
CUST00012,Female,0,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,18.0,360.73,No
CUST00013,Female,0,No,Yes,28,Yes,No,DSL,No,No,No internet service,Yes,No,No,Month-to-month,No,Bank transfer (automatic),47.42,1303.08,No
CUST00014,Male,0,No,Yes,31,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),129.88,4071.37,Yes
CUST00015,Male,0,No,No,20,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.11,1546.1,No
CUST00016,Male,0,No,Yes,25,Yes,No,DSL,No,No internet service,No,No internet service,No,Yes,One year,No,Credit card (automatic),52.77,1336.29,No
CUST00017,Male,0,Yes,Yes,26,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.31,1977.04,No
CUST00018,Female,0,No,No,30,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,Yes,No internet service,Two year,No,Mailed check,52.71,1699.87,No
CUST00019,Male,0,No,Yes,27,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,121.38,3278.96,No
CUST00020,Male,0,Yes,No,29,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,40.27,1163.48,Yes
CUST00021,Female,0,Yes,No,21,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),54.32,1115.34,No
CUST00022,Male,0,No,No,26,Yes,No phone service,Fiber optic,No,No,No internet service,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),25.23,766.58,No
CUST00023,Male,0,No,No,28,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),61.14,1747.96,No
CUST00024,Male,0,Yes,No,29,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),64.76,1826.32,No
CUST00025,Male,0,Yes,No,17,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),105.87,1742.14,No
CUST00026,Female,0,Yes,No,35,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),39.5,1298.5,No
CUST00027,Male,1,No,No,25,No,Yes,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,84.51,2107.91,No
CUST00028,Female,0,Yes,Yes,33,Yes,Yes,DSL,Yes,No,No internet service,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),72.6,2320.88,No
CUST00029,Female,0,No,No,30,Yes,Yes,DSL,No internet service,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),18.0,481.62,No
CUST00030,Male,0,Yes,No,23,Yes,No,No,No,No internet service,No,No,No internet service,No,Two year,Yes,Credit card (automatic),48.24,1162.94,No
CUST00031,Female,0,No,No,23,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),47.05,1126.7,Yes
